manufacturer,category,series,model,ratedCurrent,poles,breakingCapacity,tripUnit,settingsJson,datasheetUrl
Schneider,ACB,MasterPact MTZ1,MTZ1 H1 3P 1600,1600,3,42,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ2,MTZ2 H1 3P 800,800,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ2,MTZ2 H1 3P 1000,1000,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ2,MTZ2 H1 3P 1250,1250,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ2,MTZ2 H1 3P 1600,1600,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ2,MTZ2 H1 3P 2000,2000,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ2,MTZ2 H1 3P 2500,2500,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ2,MTZ2 H1 3P 3200,3200,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ3,MTZ3 H1 3P 3200,3200,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ3,MTZ3 H1 3P 4000,4000,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ3,MTZ3 H1 3P 5000,5000,3,65,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
